run_id,seed,status,outcome,exploration_completed,return_success,return_blocked_count,mission_start_sim,confirming_complete_sim,return_start_sim,home_reached_sim,exploration_duration_sim,return_duration_sim,distance_at_return_start,map_points_at_return_start,planning_events_at_return_start,global_events_at_return_start,local_events_at_return_start,local_planning_mean_ms_at_return_start,local_planning_p95_ms_at_return_start,final_mission_distance,final_map_points,global_planning_count,global_planning_mean_ms,global_planning_p95_ms,all_planning_event_count,mean_rtf,coverage_status
full_seed_001_20260914T153122,1,FAILED,USER_ABORT,True,False,1,3.26,447.706,453.107,,449.84700000000004,,189.0701177573319,1059967,263,48,215,2.319604651162792,29.6716,195.58511827050052,1060709,48,46.842833333333324,92.0337,4375,0.998766809250696,UNAVAILABLE_NO_VERIFIED_DENOMINATOR
full_seed_002_20260914T154424,2,VERIFIED,HOME_REACHED,True,True,0,3.202,421.593,426.963,459.178,423.761,32.214999999999975,181.68405333788198,1063770,211,38,173,0.4588843930635838,1.4760000000000006,196.70810271158857,1064646,38,49.58434210526319,92.65634999999999,244,0.9989373754979739,UNAVAILABLE_NO_VERIFIED_DENOMINATOR
full_seed_003_20260914T155258,3,VERIFIED,HOME_REACHED,True,True,0,3.276,451.656,457.034,471.079,453.758,14.045000000000016,185.11700962921512,1069081,223,40,183,0.9662786885245911,2.0616000000000003,188.54628262354984,1069268,40,48.61475000000001,96.47424999999997,229,0.9988758995037504,UNAVAILABLE_NO_VERIFIED_DENOMINATOR
full_seed_002_20260914T160207,2,VERIFIED,HOME_REACHED,True,True,0,3.251,452.272,457.665,480.291,454.41400000000004,22.625999999999976,198.56703794723475,1066453,249,37,212,1.2983254716981127,1.8669000000000002,204.54816674061922,1069152,37,46.16283783783783,89.0648,256,0.9989134037350145,UNAVAILABLE_NO_VERIFIED_DENOMINATOR
